created_at,full_text,year
2020-04-22,@subtanyarl menengo cocotmu ki rasah kakean bacot nek weruh wedokan wudo yo kontol mu ngaceng ngagas cewek nek ngomong sunda ngomong jowo raimu kui ngeneh tak tapok,2020
2020-01-01,@alfinosakti @Imam26517634 Mirip si Heryanto mantan ku..orang sunda Tasik..kontol jumbo semalaman Ampe pagi bisa 4 Ampe lima kali crot,2020
2020-03-27,Halah Kontol,2020
2020-02-17,@uglygodh @Fhrazzy1314 @lord_chendolzzz @hazeInvt @newdiik Kukira komandan sunda suka kontol,2020
2020-03-25,@_unh0ely Ish lama bgt nungguin rilis Lokal sunda hot membara aa tasik kontol panjang jeung aa alpa boti gemes,2020
2020-05-09,@Melisaaayu__ Boleh katanya yg gak boleh cowok sunda nikah sama cewek jawa,2020
2020-03-22,@liaaekaptr @ck_alifia Aku kangen nanti kita teriak kuntal kontol lagi,2020
2020-02-19,@damyrez_786 @arfar_pas @sunda_002 @Yayatpangeran Tong disensor..biasa w..d cilegon g kontol sapi aya cnh,2020
2020-10-06,Ngeliat Anggota DPR kek KONTOL Dah lah mo ikut Sunda Empire aja AING mah. https://t.co/6bfWLvc0un,2020
2020-03-30,@septixx2 Kontol,2020
2020-08-15,@derisja Aaah kontol kebanyakan,2020
2020-04-22,Poto pake emot love love kontol itu biar apa sih gua tanya?keren tah,2020
2020-04-02,@YBRAP KORONA KONTOL,2020
2020-04-25,@rakajunico Kontol,2020
2020-05-13,@memefess g sunda g jawa sama j lo ada sbos bertamu ntar pulang pada ngegosip. eh it rmh ny hasil ngutang loh oh iya kmaren juga boncengan ama selingkuhan nya oh yaih pdahal warisan nya banyak loh nunggu mati mertua oh maigot oplas kontol,2020
2020-03-11,latif bajingan asu kontol,2020
2020-02-26,katanya duit bukan segalanya. hilih kontol munafik pentil katak biji semut badak sunda sini kasih tau gue yg bisa bikin lu bahagia tanpa mengeluarkan uang sebiji pun. diluar dari agama yaa bangsat.,2020
2020-06-01,@doMbengg Muka kek pori pori kontol sok sokan lu anjing! Lu kira sunda bukan bagian dari jawa? Balik SD ajalah sono kentod!,2020
2020-04-25,@arilreynaldii Bhs sunda nya kontol apaan ril,2020
2020-06-02,@loftychan @xiwvvixs iya gue pasrah lo mau translate abdi kabogoh ka anjeun jadi lo kontol jg gapapa berserah diri gue sama sunda,2020
2020-07-16,@freylonte Mkn kontol mau,2020
2020-03-04,Ni satu lg lonte dari sunda nm y rizal kulit hitam ..dr lahir dia blm dpt memek yg buat dimskin kontol y dan buat disepong am mulut y dan hobby suka desain smp puas aplg klo yg order bayar dp dulu buat beli sabun mandi dan minum miras https://t.co/l0ylMun7s4,2020
2020-08-31,@txtanakfesbuk Asa de kontol,2020
2020-03-20,@ck_alifia Ahahahaha kontol,2020
2020-12-19,@squidwardfess mf mamas tu kontol dlm bahasa sunda nder,2020
2020-10-07,@KontolSunda2 Oh kontol sunda,2020
