created_at,full_text,year
2023-11-23,Kwani kwa huyu kocha Simba wamesahau nini inamaana hamna makocha wengine Dalili za kufeli kwetu simba (1) kumrudisha chama (2) kumrudisha Mikisoni (3) kumrudisha Kishingo Tungekua tuko vizuri tusinge rudi tulipo toka... nisawa namtoto wakiume kuondoka nyumbani kwenda https://t.co/HbKgnvbwys,2023
2023-11-08,cowo jawa pemail ml kontol,2023
2023-11-29,@cheesecrazy20 Jebres pling deket gacoannya,2023
2023-11-29,@iwthil Hayuk atuh kenalan,2023
2023-11-29,@lalalalana04 Owalah,2023
2023-11-24,@LibranTechie Jiraniiiiiii,2023
2023-01-03,@SUNDA_FESS Kontol na gede,2023
2023-11-29,@18fesss dijual aja nder pas cuan baru putusin. mayan ladang uang,2023
2023-12-05,@15Diegocalle Di NEGRO joder,2023
2023-11-22,@SUNDA_FESS KONTOL,2023
2023-04-29,Titit terlalu childish Kontol terlalu sabar Kanjut terlalu Sunda Kemaluan terlalu formal,2023
2023-11-29,@convomf wangi smuana soalny parfum,2023
2023-11-24,@MrDepalitto7 @YoungAfricansSC Oya nigger yan mtu anawez kuja kusoma kwa umakini kabisa mwanzo hadi mwisho ila ubao au chaki mwalimu akasema nyuki basi futeni maji. Basi wote wananywa maziwa ya chai andazi kuku.,2023
2023-11-24,Mutanen kasar Niger Sunfara Tofa Albarkacin Bakinsu Akan Abunda ke Faruwa Ajihar Kano gameda demukradiyyar Nigeria inda Suketa Allah Wadai da demukradiyyar Nigeria Allah Ya Kuyata. https://t.co/d1m0JmXpFc,2023
2023-11-29,Ngerokok pula walaupun cuma 4 batang sehari minum pula kadang-kadang sifat yo ngga bagus2 amat mental yo mboh,2023
2023-10-09,ngarep https://t.co/3dxYkmqVEK kayak kontol. kasian uang negara buat ginian handle overload traffic aja gembel anak SMK bisa bikin jauh lebih bagus,2023
2023-12-04,@armlessjoao da gaga?,2023
2023-12-05,@ChefGaella254 Ama njwanga kama whale ya jonah,2023
2023-10-15,unggah ungguh jawa kontol,2023
2023-11-16,emang lu bedua kontol kalo ngobrol pake basa jawa sengaja kan??? @disskoria @mutsiuki,2023
2023-11-23,@mk_shafii Niger state ƙila tana chan .,2023
2023-09-16,@Syarman59 @herrycho_12 Sarman Kontol Kau datangi lah (kalau kere cari data aja) negri/daerah dari Aceh sampe Papua berapa gelintir yg punya legalitas. Kecuali Jawa - Bali mungkin sudah pada punya legalitas lahan yg dipunyai/tempati,2023
2023-11-29,@RuliPujiono @JennyJusuf Halah jawir kontol,2023
2023-11-29,@nwaegbe_nkem @olumidecapital 19. Jigawa N20.5bn 20. Abia N20.1bn 21. Zamfara N19.4bn 22. Imo N19.3bn 23. Nasarawa N19.3bn 24. Borno N19.1bn 25. Kogi N18.2bn 26. Ekiti N17bn 27. Niger N16.9bn 28. Benue N15.9bn 29. Plateau N15.9bn 30. Bayelsa N15.9bn 31. Gombe N13.6bn,2023
2023-11-13,Yakin banget kalau lky fisuruh ngurusin jawa bakal berhasil,2023
2023-11-29,@unnesmenfess Dm KLO blm dpt ni temenku pelihara kucing di rumah warlok,2023
2023-12-05,@junyaSoliveira KKKKKJJJJJJJKJKKKKK AH para,2023
2023-11-29,@DailyPersib @Luquitas17Szn @unmagnetism Ya salmon grade a juga mahal dan biasanya dibungkus rapi..,2023
2023-11-29,jawir ver e : sungchan mabur s : eunseok sangar e : angel cok,2023
2023-07-15,@ibrhmihsan Emg sunda kek kontol,2023
2023-12-21,@sflut @convomf mamas di bhs sunda artinya penis aka kontol sih jd gaada yg pake wkwkwkwk,2023
2023-11-29,wohooo lu dah dapet anjir jawir cintaku sayangku muah. wlopun gua tim hyperbloom gpp sllu ada tempat untuk mas jawir https://t.co/7herYcyysg,2023
2023-11-24,@lowBills_ Wanatak followers weng eti na engagment,2023
2023-12-04,@Bryanime_ Sube el nivel jujuju Negro,2023
2023-12-04,@thvilvs LPM mi negro,2023
2023-11-25,@MAOKOTOO Kun meseji nying nitazipitia usiku,2023
2023-09-07,@marrd55 @PetapaGenitt_69 @maungreborn @alleentezijn @SUNDA_FESS kontol lu ya,2023
2023-12-04,@ujessiica Uban oshawa umhlaba alalele umaskandi???,2023
2023-11-29,@jawir_ncuk Kenalin coba sama joninya,2023
2023-10-10,@_e_g_a_n_ bayangin : malaysia datang ke jawa terus ngeklaim wilayah tsb wilayah malaysia orang jawa lalu perang berusaha merebut wilayah tsb tapi selama 50 tahun gagal pertanyaan : itu wilayah udah jadi punya malaysia atau tetep indo ?,2023
2023-11-23,Abekho abantu abangicika nje ngama Niger,2023
2023-12-03,Bahia,2023
2023-12-03,@bertrandmyd Pena de Kukusklan negro hdp,2023
2023-08-07,@SUNDA_FESS mamas kontol,2023
2023-11-29,@indripuji @DailyPersib @Luquitas17Szn @unmagnetism Iyasih tapi ikan asin awalnya di lalerin dlu pas ngeringin ya :(,2023
2023-11-29,@samjoiner @YuanfenYang @upyorkshire @peterjandringa @evawxiao @inari_ta @maxharlow @leahyjoseph @sunyu1117 Dandaji Mosque in Niger https://t.co/K6Vz8kBknF,2023
2023-11-24,@ola756746 @YoungAfricansSC Msenge,2023
2023-11-29,@KAISARIII Namshukuru Mungu,2023
2023-11-22,@__ditss @kuasajawa @xwumbomumbox kontol kecil jawa aja aku ga pernah merasakan apalagi yg gede yhh,2023
2023-11-29,@zemacchiato @themraqua Wes mangap kan kui,2023
2023-12-05,@sarahkendzior Sarah!!!,2023
2023-11-29,Judaism kinda goofy ngl,2023
2023-12-04,@sylvyala Hola Abu Babosa‍️,2023
2023-11-29,@jawir_ncuk Coba di dm kenalinnya,2023
2023-10-08,gue emang mau dapet jodoh org jawa tapi ini yg deket sama gue satupun gak sesuai type ku semua tol kontol,2023
2023-11-29,iso-isone cah ngapak melu-melu nggawe menfess dau HAHAHAH,2023
2023-09-15,@DokterTifa Kontol kau karna di jawa tengah harga2 bahan pokok murah,2023
2023-11-25,@CHINGA_KID_ Unataka cha bure alf kiwe kirahic au sio,2023
2023-10-31,@KangDarja @cetilcetot @dina_sulaeman Heh kontol bawa bawa PIK. PIK itu perumahan biasa lo mau cindo kek mau jawa kek mau ambon kek. Kalo lo punya duit ya lu bisa tinggal di sana. Iri bilang bang mau kaya ya kerja opini sampah.,2023
2023-06-21,@donpoloohio Temen gw bosnya dulu co Sunda benci ama ce Sunda,2023
2023-12-16,@SUNDA_FESS Kontol,2023
2023-09-24,hiling bukan banyak duit kontol tapi banyak masalah,2023
2023-02-07,@SUNDA_FESS Kontol na badag urg ge apal min,2023
2023-09-18,@tanyakanrl Tolol beut panteq mikir lah kontol. Kena karma mampus. https://t.co/RNrrYerVXF,2023
2023-11-29,Parah bjir leader gw nyangka gw cina wkwkwkwk padahal full jawir bjirlah,2023
2023-09-19,@Demarcoluxx KONTOL KONTOL KONTOL KONTOL KONTOLLLLLL,2023
2023-12-03,@realnorma_kay Udla izigqwathi lomjida for sure namafinyila uyawahuqa,2023
2023-12-05,Aikhona let Pena cook,2023
