created_at,full_text,year
2021-11-24,@bertanyarl Tapi pas awal kenal dia ngomong ke gua yg abis sholat lah lu islam? Gua kira orang batak sama kaya gua ya memang muka gua terlihat seperti nonis :)),2021
2021-12-28,ke carita pa pegarle,2021
2021-08-23,@MusuhOrangBodoh @FerdinandHaean3 E goblok gw Batak mknya ngerti.. orang kaya lu bodohnya ga bertepi. Simanjuntak marga ku. Mardaup No.15 itu pun kl kau tau goblok.,2021
2021-03-22,@markyourlee johnny mirip kaya orang batak,2021
2021-12-29,@mikxrm omg yo jalo,2021
2021-12-30,Ahahahahahahq,2021
2021-12-28,@Yoney_Contreras HAHAHAHAHAYAYAHAHAHAHA,2021
2021-11-07,Klo gw bukan orang Indo &amp; Batak gw lebih suka upacara kecil &amp; sakral kaya gini saat menikah. Hanya orang2 yg mengenal kami dgn baik &amp; orangtua saja yg hadir. Kadang suka iri sama gaya nikahan orang bule Tapi berhubung gw udah nikah gak ada yg gw sesali sih https://t.co/6Wdtc8Pu3E,2021
2021-08-09,@day6confess Sumpah wonpil kaya orang batak bgt sumpahhh,2021
2021-06-23,@DOYEONgft Kaya orang batak anjir maksud gua muka jepetonya ko berubah dis diliat liat???,2021
2021-12-28,@delfii_morvillo @caamicasass JAKAJAJAKAK,2021
2021-12-30,ke sarpadooooooooo,2021
2021-12-31,Leo naona nikipata Nikita akitikita..,2021
2021-07-16,yongha jongho juga kaya orang batak,2021
2021-12-31,@shoskj Negro raw JDIBSBUSBU,2021
2021-12-26,@Nandaa180218 @firzieidris Buyutnya emang orang Indonesia Jawa Timur tepatnya.,2021
2021-12-30,HAHAHAHAHAHAHAAH,2021
2021-07-07,@kafeinxxx @Sunda_Fess Etamah ges goreng kalakuan kos kitu berarti lewih kontol meren:((,2021
2021-07-31,ANAK KANDUNG JADI ANJING ZAKAT FITRAH ZAKAT ANJING MODAL KONTOL KENTOT GRATIS SUNDA KONTOL ISLAM ANJING HUTANG DIBAWA MATI ANJING https://t.co/iKCBS8yXt8,2021
